State,InstituteType,MCCCode,Institute,Quota,CategoryCode,Seats,SeatGender
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,EW NO,4,Both
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,OP NO,10,Both
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,SC NO,4,Both
Andhra Pradesh,All India except Central University,200460,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,EW NO,1,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,EW PH,1,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,OP NO,9,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,SC NO,2,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,SC PH,1,Both
Andhra Pradesh,All India except Central University,200672,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU",All India,ST PH,1,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,BC NO,9,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,EW NO,4,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,OP NO,14,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,SC NO,6,Both
Andhra Pradesh,All India except Central University,200441,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,OP NO,8,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,SC NO,3,Both
Andhra Pradesh,All India except Central University,200673,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002",All India,ST NO,2,Both
Andhra Pradesh,All India except Central University,200674,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200674,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,200674,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com",All India,OP NO,9,Both
Andhra Pradesh,All India except Central University,200674,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com",All India,SC NO,4,Both
Andhra Pradesh,All India except Central University,200674,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,OP NO,8,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,SC NO,3,Both
Andhra Pradesh,All India except Central University,200443,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH",All India,ST NO,2,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,BC NO,3,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,OP NO,6,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,SC NO,2,Both
Andhra Pradesh,All India except Central University,902841,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,904737,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT",All India,BC NO,2,Both
Andhra Pradesh,All India except Central University,904737,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT",All India,OP NO,3,Both
Andhra Pradesh,All India except Central University,904737,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT",All India,SC PH,1,Both
Andhra Pradesh,All India except Central University,904737,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,OP NO,9,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,SC NO,3,Both
Andhra Pradesh,All India except Central University,200662,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram.",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,200668,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003",All India,BC NO,6,Both
Andhra Pradesh,All India except Central University,200668,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003",All India,EW NO,3,Both
Andhra Pradesh,All India except Central University,200668,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003",All India,OP NO,7,Both
Andhra Pradesh,All India except Central University,200668,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003",All India,SC NO,4,Both
Andhra Pradesh,All India except Central University,200668,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003",All India,ST NO,2,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,BC NO,9,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,EW NO,2,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,EW PH,1,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,OP NO,15,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,SC NO,5,Both
Andhra Pradesh,All India except Central University,200442,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200423,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building",All India,BC NO,10,Both
Andhra Pradesh,All India except Central University,200423,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building",All India,EW NO,4,Both
Andhra Pradesh,All India except Central University,200423,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building",All India,OP NO,14,Both
Andhra Pradesh,All India except Central University,200423,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building",All India,SC NO,6,Both
Andhra Pradesh,All India except Central University,200423,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,BC NO,9,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,EW NO,4,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,OP NO,15,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,SC NO,4,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,SC PH,1,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,200424,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL.",All India,ST PH,1,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,BC NO,8,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,EW NO,3,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,OP NO,10,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,SC NO,5,Both
Andhra Pradesh,All India except Central University,200444,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,BC NO,9,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,EW NO,3,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,OP NO,16,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,SC NO,5,Both
Andhra Pradesh,All India except Central University,200420,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA",All India,ST NO,2,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,BC NO,9,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,EW NO,4,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,EW PH,1,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,OP NO,13,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,SC NO,6,Both
Andhra Pradesh,All India except Central University,200426,"S V Medical College, Tirupati, NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI",All India,ST NO,3,Both
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,BC NO,6,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,BC PH,1,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,EW NO,2,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,OP NO,10,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,OP PH,1,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,SC NO,3,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,SC PH,1,Female Only
Andhra Pradesh,All India except Central University,200434,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati, SVIMS, ALIPIRI ROAD, TIRUPATI",All India,ST NO,2,Female Only
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,BC NO,26,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,BC PH,1,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,EW NO,9,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,EW PH,1,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,OP NO,39,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,OP PH,2,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,SC NO,14,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,SC PH,1,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,ST NO,6,Both
Assam,All India Institute Of Medical Science(AIIMS),200519,"AIIMS Guwahati, PO-CHANGSARI, DISTRICT-KAMRUP",Open Seat Quota,ST PH,1,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,BC NO,11,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,EW NO,3,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,OP NO,15,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,OP PH,1,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,SC NO,5,Both
Assam,All India except Central University,200102,"Assam Medial College, Dibrugarh, Borbari, Dibrugarh",All India,ST NO,3,Both
Assam,All India except Central University,200642,"Dhubri Medical College, Dhubri, P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325",All India,BC NO,4,Both
Assam,All India except Central University,200642,"Dhubri Medical College, Dhubri, P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325",All India,EW NO,2,Both
